severity,category,word,destination,message
INFO,student-digital-learn-example-subpool-empty-after-protection,semicircle,Learn · prefixes · Flight B · target:semi · vocab:familiar,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,abduct | abnormal,Learn · prefixes · Flight C · target:ab · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,exhale | export,Learn · prefixes · Flight B · target:e-ex · vocab:familiar,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,retroactive,Learn · prefixes · Flight C · target:retro · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,import,Learn · roots · Flight B · target:port · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,audible,Learn · roots · Flight C · target:aud · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,modernize,Learn · suffixes · Flight B · target:ize · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,portable | readable | visible,Learn · suffixes · Flight A · target:able-ible · vocab:familiar,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,inspector,Learn · suffixes · Flight A · target:er-or · vocab:academic,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-learn-example-subpool-empty-after-protection,assistant,Learn · suffixes · Flight C · target:ant-ent-agent · vocab:familiar,"The Learn morpheme card remains available. For this selected vocabulary level, all authored examples are protected, so the card displays its no-examples message. Treat this as example-coverage information rather than an unavailable Student Digital activity."
INFO,student-digital-runtime-pool-intentionally-unavailable,,Build Words · prefix+root · Flight B · vocab:familiar,Intentional N/A: no approved unprotected familiar Flight B word currently provides a clean canonical Prefix + Root build. Transparent prefix + ordinary-base words are not substituted because this path is explicitly labeled Prefix + Root.
INFO,student-digital-runtime-pool-intentionally-unavailable,,Use It · prefix+root · Flight B · vocab:familiar,Intentional N/A downstream of the corresponding Prefix + Root Build Words pool; Use It begins with the active Build pool.
INFO,protected-word-authored-but-filtered,unhappy,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,unfair,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,rebuild,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,reread,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,inactive,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,impossible,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,disagree,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,import,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,overcook,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,preview,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,preheat,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,transport,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,semicircle,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,midpoint,Flight A Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,abduct,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,abnormal,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,emit,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,export,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,exhale,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,retrospective,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,retroactive,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,biology,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,chronology,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,produce,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,reject,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,eject,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,transmit,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,emit,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,transport,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,portable,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,import,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,interrupt,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,disrupt,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,manuscript,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,subsequent,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,inspect,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,spectator,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,inspector,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,evaluate,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,intervene,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,inactive,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,audible,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,visible,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,thermometer,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,thermometer,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,acceptance,Flight C Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,poetic,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
INFO,protected-word-authored-but-filtered,modernize,Flight B Digital Learn,Protected word remains authored in the digital source but is classified as runtime-filtered. Keep the protection gate intact.
